,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
10,11,527163010,60,6,75.0,10000,0,-1.0,1,0,0,1,0,1,0,0,0,1,6,5,1993,1994,1,0,4,5,-1,0.0,2,2,1,3.0,2.0,1,4,0.0,4,0.0,763.0,763.0,0,3,1,0,763,892,0,1655,0.0,0.0,2,1,3,1,2,7,0,1,2.0,0,1993.0,2.0,2.0,440.0,2.0,2.0,1,157,84,0,0,0,0,-1.0,-1,-1,0,4,2010,0,0,175900
12,13,527166040,60,6,63.0,8402,0,-1.0,1,0,0,0,0,1,0,0,0,1,6,5,1998,1998,1,0,1,1,-1,0.0,2,2,1,3.0,2.0,1,4,0.0,4,0.0,789.0,789.0,0,3,1,0,789,676,0,1465,0.0,0.0,2,1,3,1,2,7,0,1,3.0,0,1998.0,2.0,2.0,393.0,2.0,2.0,1,0,75,0,0,0,0,-1.0,-1,-1,0,5,2010,0,0,180400
13,14,527180040,20,6,85.0,10176,0,-1.0,0,0,0,0,0,1,0,0,0,0,7,5,1990,1990,1,0,4,5,-1,0.0,2,2,1,3.0,2.0,0,3,637.0,4,0.0,663.0,1300.0,0,3,1,0,1341,0,0,1341,1.0,0.0,1,1,2,1,3,5,0,1,0.0,0,1990.0,0.0,2.0,506.0,2.0,2.0,1,192,0,0,0,0,0,-1.0,-1,-1,0,2,2010,0,0,171500
15,16,527216070,60,6,47.0,53504,0,-1.0,2,2,0,2,1,2,0,0,0,1,8,5,2003,2003,0,0,3,6,2,603.0,4,2,1,3.0,2.0,0,2,1416.0,4,0.0,234.0,1650.0,0,4,1,0,1690,1589,0,3279,1.0,0.0,3,1,4,1,4,12,1,1,3.0,1,2003.0,2.0,3.0,841.0,2.0,2.0,1,503,36,0,0,210,0,-1.0,-1,-1,0,6,2010,0,0,538000
16,17,527225035,50,6,152.0,12134,0,-1.0,1,1,0,0,1,1,0,0,0,2,8,7,1988,2005,1,0,2,2,-1,0.0,3,2,2,3.0,2.0,3,3,427.0,4,0.0,132.0,559.0,0,3,1,0,1080,672,0,1752,0.0,0.0,2,0,4,1,2,8,0,0,-1.0,2,1988.0,1.0,2.0,492.0,2.0,2.0,1,325,12,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,164000
17,18,527258010,20,6,88.0,11394,0,-1.0,0,0,0,1,0,2,0,0,0,0,9,2,2010,2010,0,0,1,1,0,350.0,3,2,1,4.0,2.0,3,3,1445.0,4,0.0,411.0,1856.0,0,4,1,0,1856,0,0,1856,1.0,0.0,1,1,1,1,4,8,0,1,4.0,0,2010.0,2.0,3.0,834.0,2.0,2.0,1,113,0,0,0,0,0,-1.0,-1,-1,0,6,2010,1,1,394432
18,19,527276150,20,6,140.0,19138,0,-1.0,0,0,0,1,0,1,0,0,0,0,4,5,1951,1951,1,0,1,1,-1,0.0,2,2,0,2.0,2.0,1,5,120.0,4,0.0,744.0,864.0,0,4,1,0,864,0,0,864,0.0,0.0,1,0,2,1,2,4,0,0,-1.0,3,1951.0,0.0,2.0,400.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,141000
19,20,527302110,20,6,85.0,13175,0,-1.0,0,0,0,0,0,3,0,0,0,0,6,6,1978,1988,1,0,5,0,0,119.0,2,2,0,3.0,2.0,1,2,790.0,1,163.0,589.0,1542.0,0,2,1,0,2073,0,0,2073,1.0,0.0,2,0,3,1,2,7,2,2,2.0,0,1978.0,0.0,2.0,500.0,2.0,2.0,1,349,0,0,0,0,0,-1.0,1,-1,0,2,2010,0,0,210000
20,21,527358140,20,6,105.0,11751,0,-1.0,1,0,0,0,0,3,0,0,0,0,6,6,1977,1977,0,0,5,0,2,480.0,2,2,0,3.0,2.0,1,0,705.0,4,0.0,1139.0,1844.0,0,4,1,0,1844,0,0,1844,0.0,0.0,2,0,3,1,2,7,0,1,2.0,0,1977.0,1.0,2.0,546.0,2.0,2.0,1,0,122,0,0,0,0,-1.0,1,-1,0,1,2010,2,0,190000
21,22,527358200,85,6,85.0,10625,0,-1.0,0,0,0,0,0,3,0,0,0,3,7,6,1974,1974,1,0,5,0,2,81.0,2,2,0,3.0,2.0,0,3,885.0,5,168.0,0.0,1053.0,0,2,1,0,1173,0,0,1173,1.0,0.0,2,0,3,1,3,6,0,2,2.0,0,1974.0,1.0,2.0,528.0,2.0,2.0,1,0,120,0,0,0,0,-1.0,1,-1,0,1,2010,0,2,170000
25,26,527403020,20,6,65.0,8450,0,-1.0,0,0,0,0,0,0,0,0,0,0,5,6,1968,1968,1,0,1,1,-1,0.0,2,2,0,2.0,2.0,1,0,775.0,4,0.0,281.0,1056.0,0,4,1,0,1056,0,0,1056,1.0,0.0,1,0,3,1,2,6,0,1,1.0,0,1968.0,0.0,1.0,304.0,2.0,2.0,1,0,85,184,0,0,0,-1.0,-1,-1,0,7,2010,0,0,142000
26,27,527404120,20,6,70.0,8400,0,-1.0,0,0,0,1,0,0,0,0,0,0,4,5,1970,1970,1,0,5,0,-1,0.0,2,2,0,2.0,2.0,1,2,804.0,1,78.0,0.0,882.0,0,2,1,0,882,0,0,882,1.0,0.0,1,0,2,1,2,4,0,0,-1.0,0,1970.0,2.0,2.0,525.0,2.0,2.0,1,240,0,0,0,0,0,-1.0,1,-1,0,4,2010,0,0,126000
28,29,527427230,120,5,26.0,5858,0,-1.0,1,0,0,3,0,0,0,0,3,0,7,5,1999,1999,1,0,6,7,-1,0.0,3,2,1,3.0,2.0,1,3,1051.0,0,0.0,354.0,1405.0,0,4,1,0,1337,0,0,1337,1.0,0.0,2,0,2,1,3,5,0,1,1.0,0,1999.0,2.0,2.0,511.0,2.0,2.0,1,203,68,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,184000
29,30,527451180,160,8,21.0,1680,0,-1.0,0,0,0,0,0,5,0,0,4,1,6,5,1971,1971,1,0,4,5,2,504.0,2,2,0,2.0,2.0,1,1,156.0,4,0.0,327.0,483.0,0,2,1,0,483,504,0,987,0.0,0.0,1,1,2,1,2,5,0,0,-1.0,3,1971.0,0.0,1.0,264.0,2.0,2.0,1,275,0,0,0,0,0,-1.0,-1,-1,0,2,2010,2,0,96000
30,31,527451330,160,8,21.0,1680,0,-1.0,0,0,0,0,0,5,0,0,4,1,5,5,1971,1971,1,0,4,5,2,492.0,2,2,0,2.0,2.0,1,1,300.0,4,0.0,225.0,525.0,0,2,1,0,525,567,0,1092,0.0,0.0,1,1,3,1,2,6,0,0,-1.0,3,1997.0,0.0,1.0,320.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,3,2010,0,0,105500
31,32,527451410,160,8,21.0,1680,0,-1.0,0,0,0,0,0,5,0,0,4,1,6,5,1971,1971,1,0,4,8,2,381.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,525.0,525.0,0,2,1,0,525,567,0,1092,0.0,0.0,1,1,3,1,2,6,0,0,-1.0,3,1971.0,0.0,1.0,264.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,3,2010,0,2,88000
32,33,527452190,120,6,53.0,4043,0,-1.0,0,0,0,0,0,6,0,0,3,0,6,5,1977,1977,1,0,5,0,-1,0.0,2,2,0,3.0,2.0,1,2,360.0,4,0.0,709.0,1069.0,0,2,1,0,1069,0,0,1069,0.0,0.0,2,0,2,1,2,4,0,1,1.0,0,1977.0,1.0,2.0,440.0,2.0,2.0,1,0,55,0,0,165,0,-1.0,-1,-1,0,7,2010,0,0,127500
33,34,527453130,160,6,24.0,2280,0,-1.0,0,0,0,3,0,6,0,0,4,1,6,6,1975,1975,1,0,5,9,-1,0.0,2,2,0,2.0,2.0,1,2,514.0,4,0.0,341.0,855.0,0,2,1,0,855,601,0,1456,0.0,0.0,2,1,3,1,3,6,0,1,2.0,0,1975.0,0.0,2.0,440.0,2.0,2.0,1,173,0,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,149900
34,35,527453150,120,6,24.0,2280,0,-1.0,0,0,0,3,0,6,0,0,4,0,7,6,1975,1975,1,0,5,9,-1,0.0,2,2,0,3.0,2.0,1,4,0.0,4,0.0,836.0,836.0,0,4,1,0,836,0,0,836,0.0,0.0,1,0,2,1,2,4,0,0,-1.0,0,1975.0,0.0,1.0,308.0,2.0,2.0,1,0,30,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,120000
35,36,527454200,160,6,24.0,2280,0,-1.0,0,0,0,0,0,6,0,0,4,1,6,5,1978,1978,1,0,5,9,-1,0.0,2,2,0,3.0,2.0,1,2,311.0,4,0.0,544.0,855.0,0,1,1,0,855,601,0,1456,0.0,0.0,2,1,3,1,2,7,0,1,2.0,0,1978.0,0.0,2.0,440.0,2.0,2.0,1,26,0,0,0,0,0,-1.0,-1,-1,0,7,2010,0,0,146000
36,37,528108120,60,6,102.0,12858,0,-1.0,1,0,0,0,0,7,0,0,0,1,9,5,2009,2010,1,0,1,1,0,162.0,4,2,1,4.0,2.0,1,4,0.0,4,0.0,1590.0,1590.0,0,4,1,0,1627,707,0,2334,0.0,0.0,2,1,3,1,4,10,0,1,3.0,0,2009.0,2.0,3.0,751.0,2.0,2.0,1,144,133,0,0,0,0,-1.0,-1,-1,0,1,2010,1,1,376162
37,38,528112020,20,6,98.0,11478,0,-1.0,0,0,0,0,0,7,0,0,0,0,8,5,2007,2008,1,0,1,1,0,200.0,3,2,1,4.0,2.0,1,3,1218.0,4,0.0,486.0,1704.0,0,4,1,0,1704,0,0,1704,1.0,0.0,2,0,3,1,3,7,0,1,3.0,0,2008.0,1.0,3.0,772.0,2.0,2.0,1,0,50,0,0,0,0,-1.0,-1,-1,0,5,2010,0,0,306000
38,39,528120060,20,6,83.0,10159,0,-1.0,1,0,0,0,0,7,0,0,0,0,9,5,2009,2010,0,0,1,1,0,450.0,4,2,1,4.0,2.0,3,3,1646.0,4,0.0,284.0,1930.0,0,4,1,0,1940,0,0,1940,1.0,0.0,2,1,3,1,4,8,0,1,3.0,0,2010.0,2.0,3.0,606.0,2.0,2.0,1,168,95,0,0,0,0,-1.0,-1,-1,0,4,2010,1,1,395192
39,40,528120090,20,6,94.0,12883,0,-1.0,1,0,0,1,0,7,0,0,0,0,8,5,2009,2010,1,0,1,1,0,256.0,3,2,1,3.0,2.0,1,4,0.0,4,0.0,1544.0,1544.0,0,4,1,0,1544,0,0,1544,0.0,0.0,2,0,3,1,3,7,0,0,-1.0,0,2009.0,1.0,3.0,868.0,2.0,2.0,1,0,35,0,0,0,0,-1.0,-1,-1,0,6,2010,1,1,290941
40,41,528120100,20,6,95.0,12182,0,-1.0,0,0,0,1,0,7,0,0,0,0,7,5,2005,2005,1,0,1,1,2,226.0,3,2,1,3.0,2.0,2,0,1201.0,4,0.0,340.0,1541.0,0,4,1,0,1541,0,0,1541,0.0,0.0,2,0,3,1,3,7,0,1,3.0,0,2005.0,1.0,2.0,532.0,2.0,2.0,1,0,70,0,0,0,0,-1.0,-1,-1,0,5,2010,1,1,220000
41,42,528120120,20,6,90.0,11520,0,-1.0,0,0,0,0,0,7,2,0,0,0,9,5,2005,2005,0,0,1,1,2,615.0,3,2,1,4.0,2.0,1,3,110.0,4,0.0,1588.0,1698.0,0,4,1,0,1698,0,0,1698,0.0,0.0,2,0,3,1,4,7,0,1,3.0,0,2005.0,2.0,3.0,730.0,2.0,2.0,1,192,74,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,275000
42,43,528138020,20,6,79.0,14122,0,-1.0,1,0,0,0,0,7,0,0,0,0,8,5,2005,2006,0,0,3,4,2,240.0,3,2,1,4.0,2.0,1,3,28.0,4,0.0,1794.0,1822.0,0,4,1,0,1822,0,0,1822,0.0,0.0,2,0,3,1,4,8,0,1,3.0,0,2005.0,1.0,3.0,678.0,2.0,2.0,1,0,119,0,0,0,0,-1.0,-1,-1,0,2,2010,0,0,259000
43,44,528138060,20,6,70.0,10171,0,-1.0,1,0,0,0,0,7,0,0,0,0,7,5,2004,2004,1,0,1,1,2,168.0,3,2,1,3.0,2.0,1,3,2.0,4,0.0,1515.0,1517.0,0,4,1,0,1535,0,0,1535,0.0,0.0,2,0,3,1,3,7,0,0,-1.0,0,2004.0,1.0,2.0,532.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,3,2010,0,0,214000
44,45,528150070,20,6,100.0,12919,0,-1.0,1,0,0,0,0,7,0,0,0,0,9,5,2009,2010,0,0,1,1,0,760.0,4,2,1,4.0,2.0,0,3,2188.0,4,0.0,142.0,2330.0,0,4,1,0,2364,0,0,2364,1.0,0.0,2,1,2,1,4,11,0,2,3.0,0,2009.0,2.0,3.0,820.0,2.0,2.0,1,0,67,0,0,0,0,-1.0,-1,-1,0,3,2010,1,1,611657
45,46,528175010,120,6,44.0,6371,0,-1.0,1,0,0,0,0,7,0,0,3,0,7,5,2009,2010,1,0,1,1,0,128.0,3,2,1,3.0,2.0,2,3,733.0,4,0.0,625.0,1358.0,0,4,1,0,1358,0,0,1358,1.0,0.0,2,0,2,1,3,6,0,1,3.0,0,2010.0,1.0,2.0,484.0,2.0,2.0,1,192,35,0,0,0,0,-1.0,-1,-1,0,6,2010,1,1,224000
46,47,528176010,20,6,110.0,14300,0,-1.0,0,2,0,0,1,7,0,0,0,0,9,5,2003,2004,0,0,1,1,2,1095.0,4,2,1,4.0,2.0,0,3,1373.0,4,0.0,1473.0,2846.0,0,4,1,0,2696,0,0,2696,1.0,0.0,2,1,3,1,4,10,0,2,3.0,0,2003.0,2.0,3.0,958.0,2.0,2.0,1,220,150,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,500000
47,48,528176070,60,6,105.0,13650,0,-1.0,0,0,0,1,0,7,0,0,0,1,8,5,2002,2002,1,0,1,1,2,232.0,3,2,1,3.0,2.0,0,3,578.0,4,0.0,1093.0,1671.0,0,4,1,0,1687,563,0,2250,1.0,0.0,2,1,3,1,3,7,0,1,4.0,0,2002.0,2.0,3.0,756.0,2.0,2.0,1,238,130,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,320000
48,49,528180070,120,6,61.0,7658,0,-1.0,0,0,0,0,0,7,0,0,3,0,9,5,2005,2005,0,0,6,7,2,412.0,4,2,1,4.0,2.0,1,3,456.0,4,0.0,1296.0,1752.0,0,4,1,0,1752,0,0,1752,1.0,0.0,2,0,2,1,4,6,0,1,3.0,0,2005.0,1.0,2.0,576.0,2.0,2.0,1,196,82,0,0,0,0,-1.0,-1,-1,0,2,2010,0,0,319900
49,50,528181050,120,6,41.0,7132,0,-1.0,1,0,0,0,0,7,0,0,3,0,8,5,2006,2006,1,0,1,1,0,178.0,3,2,1,3.0,2.0,2,3,24.0,4,0.0,1346.0,1370.0,0,4,1,0,1370,0,0,1370,0.0,0.0,2,0,2,1,3,6,0,1,3.0,0,2006.0,1.0,2.0,484.0,2.0,2.0,1,120,49,0,0,0,0,-1.0,-1,-1,0,4,2010,0,0,205000
50,51,528188120,160,6,36.0,2628,0,-1.0,0,0,0,0,0,7,0,0,4,1,7,5,2003,2003,1,0,1,6,0,106.0,3,2,1,3.0,2.0,1,4,0.0,4,0.0,764.0,764.0,0,4,1,0,764,862,0,1626,0.0,0.0,2,1,2,1,3,6,0,0,-1.0,1,2003.0,1.0,2.0,474.0,2.0,2.0,1,0,27,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,175500
51,52,528218150,20,6,100.0,18494,0,-1.0,1,0,0,1,0,1,0,0,0,0,6,5,2005,2005,1,0,1,1,-1,0.0,3,2,1,3.0,2.0,1,4,0.0,4,0.0,1324.0,1324.0,0,4,1,0,1324,0,0,1324,0.0,0.0,2,0,3,1,3,6,0,0,-1.0,0,2005.0,2.0,2.0,430.0,2.0,2.0,1,36,23,0,0,0,0,-1.0,-1,-1,0,1,2010,0,0,199500
52,53,528228285,120,6,43.0,3203,0,-1.0,0,0,0,0,0,8,0,0,3,0,7,5,2006,2006,1,0,1,1,2,14.0,3,2,1,3.0,2.0,3,3,16.0,4,0.0,1129.0,1145.0,0,4,1,0,1145,0,0,1145,0.0,0.0,2,0,2,1,3,6,0,0,-1.0,0,2006.0,2.0,2.0,437.0,2.0,2.0,1,100,116,0,0,0,0,-1.0,-1,-1,0,1,2010,0,0,160000
53,54,528228440,120,6,43.0,3182,0,-1.0,0,0,0,0,0,8,0,0,3,0,8,5,2004,2005,1,0,1,1,2,16.0,3,2,1,3.0,2.0,1,3,24.0,4,0.0,1232.0,1256.0,0,4,1,0,1269,0,0,1269,0.0,0.0,2,0,2,1,3,6,0,1,2.0,0,2004.0,2.0,2.0,430.0,2.0,2.0,1,146,20,0,0,144,0,-1.0,-1,-1,0,4,2010,0,0,192000
54,55,528231020,80,6,67.0,13300,0,-1.0,1,0,0,0,0,1,0,0,0,4,7,5,2004,2004,1,0,1,1,-1,0.0,3,2,1,3.0,2.0,1,3,326.0,4,0.0,58.0,384.0,0,4,1,0,744,630,0,1374,1.0,0.0,2,1,3,1,3,7,0,1,3.0,1,2004.0,2.0,2.0,400.0,2.0,2.0,1,100,0,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,184500
56,57,528240130,60,6,63.0,8577,0,-1.0,1,0,0,0,0,1,0,0,0,1,7,5,2004,2004,1,0,1,1,-1,0.0,3,2,1,3.0,2.0,1,4,0.0,4,0.0,847.0,847.0,0,4,1,0,847,886,0,1733,0.0,0.0,2,1,3,1,3,7,0,1,3.0,1,2004.0,2.0,2.0,433.0,2.0,2.0,1,144,48,0,0,0,0,-1.0,-1,-1,0,4,2010,0,0,185088
59,60,528328100,60,6,108.0,14774,0,-1.0,1,0,0,1,0,9,0,0,0,1,9,5,1999,1999,1,0,1,1,2,165.0,3,2,1,3.0,2.0,1,4,0.0,4,0.0,1393.0,1393.0,0,4,1,0,1422,1177,0,2599,0.0,0.0,2,1,4,1,3,10,0,1,2.0,1,1999.0,2.0,3.0,779.0,2.0,2.0,1,668,30,0,0,0,0,-1.0,-1,-1,0,5,2010,0,0,333168
60,61,528344070,60,6,60.0,17433,0,-1.0,2,0,0,2,0,9,0,0,0,1,8,5,1998,1998,0,0,1,1,2,114.0,3,2,1,4.0,2.0,1,4,0.0,4,0.0,1629.0,1629.0,0,4,1,0,1645,830,0,2475,0.0,0.0,2,1,4,1,3,7,0,1,2.0,0,1998.0,2.0,3.0,962.0,2.0,2.0,1,23,172,0,0,256,0,-1.0,-1,-1,0,1,2010,0,0,355000
61,62,528358010,20,6,59.0,10593,0,-1.0,1,0,0,0,0,9,0,0,0,0,7,5,1996,1996,0,0,1,1,2,338.0,3,2,1,3.0,2.0,1,3,919.0,4,0.0,801.0,1720.0,0,4,1,0,1720,0,0,1720,1.0,0.0,2,0,3,1,3,7,0,1,2.0,0,1996.0,2.0,2.0,527.0,2.0,2.0,1,240,56,154,0,0,0,-1.0,-1,-1,0,3,2010,0,0,260400
62,63,528363130,60,6,98.0,12256,0,-1.0,1,0,0,1,0,9,0,0,0,1,8,5,1994,1995,1,0,4,5,2,362.0,3,2,1,4.0,2.0,3,3,1032.0,4,0.0,431.0,1463.0,0,4,1,0,1500,1122,0,2622,1.0,0.0,2,1,3,1,3,9,0,2,2.0,0,1994.0,1.0,2.0,712.0,2.0,2.0,1,186,32,0,0,0,0,-1.0,-1,-1,0,4,2010,0,0,325000
63,64,528382020,60,6,92.0,11764,0,-1.0,1,0,0,2,0,9,0,0,0,1,8,7,1999,2007,1,0,1,1,2,348.0,3,2,1,3.0,2.0,1,3,524.0,4,0.0,628.0,1152.0,0,4,1,0,1164,1106,0,2270,0.0,0.0,2,1,4,1,3,9,0,1,3.0,0,1999.0,2.0,3.0,671.0,2.0,2.0,1,132,57,0,0,0,0,-1.0,-1,-1,0,4,2010,0,0,290000
64,65,528382030,60,6,58.0,16770,0,-1.0,2,0,0,2,0,9,0,0,0,1,7,5,1998,1998,1,0,1,1,2,30.0,3,2,1,3.0,2.0,1,4,0.0,4,0.0,1195.0,1195.0,0,3,1,0,1195,644,0,1839,0.0,0.0,2,1,4,1,2,7,0,0,-1.0,0,1998.0,2.0,2.0,486.0,2.0,2.0,1,0,81,0,0,0,0,-1.0,-1,-1,0,6,2010,0,0,221000
65,66,528386040,50,6,56.0,14720,0,-1.0,1,0,0,2,0,9,0,0,0,2,8,5,1995,1996,0,0,1,1,2,579.0,3,2,1,3.0,2.0,3,3,816.0,4,0.0,1217.0,2033.0,0,4,1,0,2053,1185,0,3238,1.0,0.0,2,1,4,1,3,9,0,1,4.0,0,1996.0,2.0,3.0,666.0,2.0,2.0,1,283,86,0,0,0,0,-1.0,-1,-1,0,3,2010,0,0,410000
66,67,528445060,20,6,73.0,8987,0,-1.0,0,0,0,0,0,4,0,0,0,0,8,5,2005,2006,1,0,1,1,2,226.0,3,2,1,3.0,2.0,-1,4,0.0,4,0.0,1595.0,1595.0,0,4,1,0,1595,0,0,1595,0.0,0.0,2,0,2,1,3,6,0,1,3.0,0,2005.0,1.0,3.0,880.0,2.0,2.0,1,144,0,0,0,0,0,-1.0,-1,-1,0,5,2010,0,0,221500
